********************************************** final_ordered_table ***********************************
final_ordered_table: {task_3_3_dataset::name: chararray,task_3_3_dataset::id: int,task_3_3_dataset::lower_case_text_1: chararray,task_3_3_dataset::length_of_text_1: long,task_3_3_dataset::big_first_letter_final: chararray,task_3_3_dataset::new_text_1_length: long,task_3_3_dataset::num_of_letters_deleted: long,task_3_3_dataset::num_of_words_text_1_new: long,task_3_3_dataset::lower_case_text_5: chararray,task_3_3_dataset::length_of_text_5: long,task_3_3_dataset::big_first_letter_final_2: chararray,task_3_3_dataset::new_text_5_length: long,task_3_3_dataset::num_of_letters_deleted_text_5: long,task_3_3_dataset::num_of_words_text_5_new: long,task_3_3_dataset::num_of_str_5_1: long,task_3_3_dataset::words_bigger_then_3_letters_2: long,num_of_words_1_5: long,num_of_good_and_bad: int}
(MAVARU  NULVTT,7121,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,2)
(ZTEXHW  MUHJKA,7201,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,2)
(OOECSY  SWRFAH,8157,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,12)
(WTYBWK  YXGJOT,8028,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,10)
(PYGJII  VPJBVC,4903,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,7)
(CMIAJB  OCKWSG,691,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,2)
(YOVIKW  KDAYFF,5107,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,4)
(PMGBIZ  QIFELO,9012,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,6)
(QOIQKC  WVECHI,112,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,9)
(HRQZAO  AOIIZJ,6502,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,2)
(PWUSSC  FAWDFS,8702,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,10)
(KQYDBZ  FXMYUY,6965,togoodto be true,16,Togoodto Be True,16,0,3,ifyou havethepower,18,You Havethepower,16,2,2,34,3,5,5)
(WSVYOY  ZATJBV,2366,theone with blue phone,22,One With Blue Phone,19,3,4,we arethewinners,16,We Arethewinners,16,0,2,38,4,6,11)
(RLGBVJ  KOOROL,2010,that is bad thing,17,That Is Bad Thing,17,0,4,we arethewinners,16,We Arethewinners,16,0,2,33,3,6,4)
(FLSQUN  LEHYAX,6779,theone with blue phone,22,One With Blue Phone,19,3,4,ifyou havethepower,18,You Havethepower,16,2,2,40,4,6,5)
(YMRKYP  XPTTIQ,2645,theone with blue phone,22,One With Blue Phone,19,3,4,ifyou havethepower,18,You Havethepower,16,2,2,40,4,6,0)
(OTWWZR  MJCPXY,9377,theone with blue phone,22,One With Blue Phone,19,3,4,we arethewinners,16,We Arethewinners,16,0,2,38,4,6,2)
